Rating,Date,Titles,Review,Company
5,08/05/2023,Good service,Easy to get in touch with ABC HealthCare to authorise a consultation and their representatives are polite and knowledgeable. The consultant and hospital were also excellent.,ABC HealthCare
5,17/04/2023,Easy to make a claim,Easy to make a claim via the app and directly from ABC HealthCare Dental.,ABC HealthCare
5,17/05/2023,Reassuring,"Easy to make a claim, no fuss , helpful staff, the key is to know your policy then there are no surprises very happy",ABC HealthCare
5,10/04/2023,Easy to make a claim,"Easy to make a claim, simple process",ABC HealthCare
5,05/07/2023,Very positive experience,Easy to process a claim and authorisation is immediate.,ABC HealthCare
5,24/04/2023,Easy to speak to someone and quickly…,Easy to speak to someone and quickly get approval for a procedure.,ABC HealthCare
5,01/08/2023,Great Experience,"Easy to understand, easy to claim, quick process and money received in timescale provided and no issues along with regular updates on progress of my claim.",ABC HealthCare
5,01/03/2023,Easy to use and great coverage,Easy to use and great coverage,ABC HealthCare
5,07/06/2023,Easy to use the app and also online…,Easy to use the app and also online portal to upload claim information. Quick responses to enquirers. Very efficient provider. Thanks,ABC HealthCare
5,12/07/2023,Efficient and clear service,Efficient and clear service. Smooth claims process,ABC HealthCare
5,10/05/2023,Efficient and helpful staff,Efficient and helpful staff,ABC HealthCare
5,10/07/2023,Efficient and helpful.,Efficient and helpful.,ABC HealthCare
5,25/06/2023,Efficient and professional service from…,Efficient and professional service from ABC HealthCare staff. Consultation at a date of my choice and content with diagnosis.,ABC HealthCare
5,20/04/2023,"Efficient service,quick to see…","Efficient service,quick to see specialist, everyone friendly",ABC HealthCare
5,18/05/2023,Efficient,"Efficient, friendly and reassuring",ABC HealthCare
5,26/06/2023,Very good and efficient,Efficiently dealt with.,ABC HealthCare
2,01/06/2023,- Endless waiting for calls to be…,Endless waiting for calls to be answered at ABC HealthCare.  - Unnecessary challenges from unqualified call handlers seemingly wanting to disregard consultants’ recommended treatment steps. - Private hospitals similarly not answering phones due to what appears to be swelling NHS cases stretching resources.,ABC HealthCare
5,09/05/2023,Easy and stress free,"Every contact was really easy. The staff are very professional and kind. Getting procedures authorised was very easy, which took a lot of stress out of a medical condition.  Only slight annoyance was the time on hold when calling.",ABC HealthCare
1,27/04/2023,Every effort was made not to pay for…,Every effort was made not to pay for treatment covered by our policy. By persisting they eventually agreed they had made an error and didn't even have the common courtesy to call and apologise.,ABC HealthCare
5,23/04/2023,"Helpful, kind and productive support",Every experience with a representative has been wonderful. I can always get the support I need and am treated with kindness and respect. The wait on the line can sometimes be long but I never walk away disappointed and get the answers I am looking for. I highly recommend.,ABC HealthCare
5,03/08/2023,Fabulous,"Every person I have communicated with has been compassionate, kind and efficient. The whole referral, appointment, authorisation process is much more straightforward than other private healthcare providers I've experienced. 10/10 all round.",ABC HealthCare
2,14/04/2023,Set aside an hour for any phone calls,"Every time I call at the moment to address a new health issue I'm having it takes about 45m to get through to someone. This even happens when I ring first thing in the morning. I understand that there is a recruitment drive going on, hopefully this will resolve the problem.  That being said when you eventually do get through to someone I have never had any trouble with the service, the team are personable and professional.",ABC HealthCare
4,26/04/2023,Everybody was efficient and answered by…,Everybody was efficient and answered by question and did what was necessary to progress my treatment.,ABC HealthCare
5,06/07/2023,Great,Everyone I have dealt with is professional and compassionate and I have had no problems at all. The only downside is that sometimes I have had to wait a long time to get through to someone,ABC HealthCare
5,20/04/2023,Courtesy and Kindness,"Everyone I have spoken to at ABC HealthCare recently has been patient, kind and courteous.  As a relatively new member - 18 months - I am still navigating the process and there is always someone there to help.  It was a little disconcerting that an MRI scan for one issue highlighted another, new, issue.  Speaking to ABC HealthCare regarding additional authorisations was swift and stress free.  They were reassuring and so patient - I was extremely grateful for their prompt assistance.",ABC HealthCare
5,17/05/2023,Brilliant Customer Care,Everyone from the staff on the phone to the Dr's I have encountered so far has been knowledgeable and helpful. Just what you need when you have a health concern.,ABC HealthCare
5,28/04/2023,Everyone is extremely helpful and very…,Everyone is extremely helpful and very well briefed.,ABC HealthCare
5,12/07/2023,"Everyone made me feel at ease,the…frozen shoulder","Everyone made me feel at ease,the procedure I had was painless really and the doctor was lovely talking me through everything he was doing or going to do , radiology staff were great also ,now I am 100% better than I was ,, thanks a lot,",ABC HealthCare
5,04/06/2023,Everyone very helpful which made this…,Everyone very helpful which made this experience stress free.,ABC HealthCare
1,05/08/2023,Everything is difficult with ABC HealthCare,Everything is difficult with ABC HealthCare. I miss Cigna so much…  Everything is designed not to cover a claim. It’s taking ages to submit one. They ask hundreds of questions to make sure you are discouraged and to make you provide a wrong answer to justify they can’t cover you. I definitely don’t recommend.,ABC HealthCare
5,26/07/2023,Everything is so easy,Everything is so easy - and fast,ABC HealthCare
5,14/05/2023,Everything on time with high quality…,Everything on time with high quality services,ABC HealthCare
5,27/07/2023,Everything was dealt with seamlessly by…,Everything was dealt with seamlessly by caring people.,ABC HealthCare
5,04/07/2023,Everything was simple and fast to to…,Everything was simple and fast to to organise treatment for me.,ABC HealthCare
5,06/05/2023,I can see again.,Everything was well organised and the staff were very nice and assuring. Couldn’t do enough for you .,ABC HealthCare
5,11/06/2023,Everything went smoothly,Everything went smoothly; grateful for help!,ABC HealthCare
5,16/04/2023,Excelent service,"Excelent service, very proffesional",ABC HealthCare
5,02/05/2023,Excellent,"Excellent , supportive customer service. Emma was incredible and helped me so much.",ABC HealthCare
4,02/08/2022,Excellent 1st class service from…,"Excellent 1st class service from sorting out approval for all my procedures, consultations etc and providing extra services such as 12 weeks counselling which was so helpful and useful. I have one gripe - which is why I gave it 4 stars - it takes absolute ages for anyone to answer the phones.",ABC HealthCare
5,18/07/2023,Excellent Portal,Excellent Portal - far easier system to process claims...and much quicker payment than any provider that I have used before. Would thoroughly recommend!,ABC HealthCare
5,13/06/2022,Excellent Services and great customers…,Excellent Services and great customers support!,ABC HealthCare
5,18/03/2023,Excellent assistance when I had a claim…,Excellent assistance when I had a claim query. The response to my questions were fast and really useful and sensitive given the situation. We’ll done!,ABC HealthCare
5,31/05/2023,Excellent care throughout,Excellent care throughout,ABC HealthCare
5,09/05/2023,Excellent communication everyone was…excellent,Excellent communication everyone was helpful,ABC HealthCare
5,10/07/2023,ABC HealthCare experience,"Excellent communication, easy to deal with and very helpful staff.",ABC HealthCare
5,26/04/2023,Excellent customer service &amp; very…,Excellent customer service &amp; very efficient claims process,ABC HealthCare
5,02/07/2023,Excellent customer service and easy…,Excellent customer service and easy claim process.,ABC HealthCare
5,12/04/2023,Excellent customer service with a 5 star rating.,Excellent customer service with staff who were extremely helpful in answering any questions I had. They were extremely friendly and very easy to deal with. They put me in touch with the right people to talk to and get me the right treatment plan that I required for the problems and health issue I currently find myself with. Couldn’t fault anything with the service or staff. 5 star service.,ABC HealthCare
5,13/07/2023,Excellent customer service,Excellent customer service. Quick and easy to understand,ABC HealthCare
5,12/07/2023,Excellent experience with ABC HealthCare!,"Excellent experience with ABC HealthCare! The Staff are very professional and friendly. Provide clear answers, guidance and help. The service is not only excellent but very quick. Easy access and user friendly ABC HealthCare App and online application.  I highly recommend ABC HealthCare",ABC HealthCare
5,01/05/2023,Excellent help with claim management…,Excellent help with claim management from beginning to end.,ABC HealthCare
5,10/07/2023,ABC HealthCare  Bladder insights…,Excellent overview of bladder challenges by the two female GPs,ABC HealthCare
5,02/05/2023,Excellent service &amp; claims experience,Excellent service &amp; claims experience. The claims process was really easy to complete online and only took a couple of minutes. My claim was approved within 3 days &amp; the funds were paid into my account 3 days later. I was super impressed at how easy the whole process was from start to finish.,ABC HealthCare
5,13/06/2023,Excellent service,Excellent service - quick and efficient reimbursement of dental fees,ABC HealthCare
5,25/04/2023,Excellent service and cover,Excellent service and cover.  Team are very helpful and polite.,ABC HealthCare
5,01/08/2023,Excellent service and very helpful in…,Excellent service and very helpful in making claim approval quick and simple,ABC HealthCare
5,10/05/2023,Excellent service from start to finish,Excellent service from start to finish. I had to wait a long time to get through initially on the phone but after that things went smoothly.,ABC HealthCare
5,17/05/2023,Excellent service on calls regarding…,Excellent service on calls regarding pre-authorisation,ABC HealthCare
4,15/06/2023,Excellent service very helpful.,Excellent service very helpful.,ABC HealthCare
5,03/07/2023,Excellent service,"Excellent service when phoning for authorisation, everything explained and a follow up text sent. I was listened to and wasn't hurried in explaining what I required",ABC HealthCare
5,05/07/2023,Excellent service,"Excellent service! One criticism,the telephone number 01743  817898 is rarely answered.When getting through, I've been put on hold for sev",ABC HealthCare
5,01/08/2023,Excellent service,"Excellent service,  supportive staff over the phone always so helpful.",ABC HealthCare
5,06/07/2023,Excellent service,"Excellent service, always ready to help where the NHS fails",ABC HealthCare
5,18/06/2023,Excellent service,"Excellent service, so helpful nothing was to much trouble and promptly found me who I needed to see .",ABC HealthCare
5,18/06/2023,Excellent service.,Excellent service.,ABC HealthCare
5,02/07/2023,Excellent service,Excellent service. Easy to navigate wed site,ABC HealthCare
5,31/05/2023,Excellent to deal with,Excellent to deal with,ABC HealthCare
5,09/07/2023,Excellent,Excellent!   The staff were very attentive and the whole process ran smoothly.,ABC HealthCare
5,11/07/2023,Excellent,"Excellent, first class customer service staff!!",ABC HealthCare
5,15/05/2023,Excellent,"Excellent, knowledgeable team members to answer questions in preparation for the operation I had.  The staff and medical teams were so caring and comforting at the hospital.",ABC HealthCare
5,11/07/2023,Excellent,"Excellent, quick appointments and very efficient and polite team.",ABC HealthCare
1,29/04/2023,Experience is Kafka-esque,"Experience is Kafka-esque - can never get a straight answer from anyone; no adviser says the same thing; it feels like they’re making it up on the spot. Have been round and round, spending hours on hold/speaking to different people trying to get simple tasks actioned.",ABC HealthCare
5,20/06/2023,Further authorization discussion…,"Explained how my recent requirements had changed,and representative dealt with it efficiently and sympathetically",ABC HealthCare
5,01/06/2023,Extremely easy to use and navigate,"Extremely easy to use and navigate, immediate response and fast invoice processing!",ABC HealthCare
5,17/07/2023,Very helpful,Extremely fast customer service and quick authorisation for medical tests. It’s very reassuring when you are going through a tough time and just need help to find out what’s happening and recover,ABC HealthCare
5,25/05/2023,Extremely helpful and efficient staffs.,Extremely helpful and efficient staffs.,ABC HealthCare
5,31/07/2023,Extremely helpful and great customer…,Extremely helpful and great customer service,ABC HealthCare
5,30/04/2023,Extremely helpful and lovely staff,Extremely helpful and lovely staff. Can’t do enough for you.,ABC HealthCare
5,05/06/2023,Eye problems sorted without fuss,Eye problems. Had a great experience with ABC HealthCare when discussing a claim for some eye surgery.  The lady at the call centre was very knowledgeable and readily understood my situation.  Everything was sorted very easily and I felt very reassured that all was in hand.  thank you,ABC HealthCare
1,04/05/2023,Cataract parthway,Eye still hazy after surgery. Have kept Benenden Eye Dept. advised but so far have been advised to wait to see if it clears.,ABC HealthCare
5,31/07/2023,Fantastic service by empathic people,Fantastic service by empathic people,ABC HealthCare
5,06/06/2022,Fantastic service dealt with my surgery…,"Fantastic service dealt with my surgery and follow up activity quickly, efficiently, and above all compassionately.",ABC HealthCare
5,27/04/2023,Fantastic service from day one,Fantastic service from day one,ABC HealthCare
5,16/06/2023,Fantastic service,Fantastic service.   Team are supportive and  guided me through the process and dealt with everything in a timely way.   Slick and seamless process,ABC HealthCare
5,30/04/2023,Fantastic,"Fantastic, supportive health insurance cover. I needed support following an ankle injury and found everyone who helped me to be professional and efficient.",ABC HealthCare
5,22/03/2023,Fast Easy convenient and really helpful,Fast Easy convenient and really helpful,ABC HealthCare
4,05/07/2023,Fast and efficient referral and…,Fast and efficient referral and excellent treatment from ABC HealthCare nominated Physio4All,ABC HealthCare
4,03/07/2023,Fast appointment,"Fast appointment and referral to physio, although chose to pay rather than using ABC HealthCare via company excess",ABC HealthCare
5,23/04/2023,Fast my hip replacement surgery replies and issuing the…,Fast replies and issuing the authorisation code for my treatment. Clear and concise information. ABC HealthCare took away the worry and made a difficult time easier.,ABC HealthCare
5,05/06/2023,Fast,"Fast, effective and got me to the right treatment.",ABC HealthCare
4,12/07/2023,fast appointments,"Fast, helpful and reassuring",ABC HealthCare
5,04/07/2023,First class service from operator.,First class service from operator.,ABC HealthCare
5,08/08/2023,First class service received from your…,First class service received from your Customer Service Team.,ABC HealthCare
5,11/06/2023,First class service,First class service. Thank you.,ABC HealthCare
5,26/04/2023,Received excellent treatment.,"First off the dentist practice I visited was excellent. Talked through everything with me prior to going ahead with the work. Reception dealt directly with ABC HealthCare on my behalf to confirm what was and was not covered by my ABC HealthCare policy, which was the vast majority of the work, and it was all settled quickly.",ABC HealthCare
5,12/06/2023,First time making a claim,"First time making a claim, and the whole process was very simple and all the people i spoke to on the telephone were very efficient and helpful and put my mind at ease",ABC HealthCare
5,27/04/2023,First time user of ABC HealthCare and so far I…,"First time user of ABC HealthCare and so far I have been really impressed. Everyone I spoke to at ABC HealthCare was very kind, compassionate and competent. Only 48 hours from GP referral to seeing a consultant, and the sense of relief at having someone listen to me and investigate why I I had been feeling so poorly and not just treating the symptoms has been worth every penny.",ABC HealthCare
5,26/06/2023,Great Experience,"First time using my ABC HealthCare Insurance, really great overall experience. Booking in appointment was quick &amp; easy via online booking system. The receptionist was super friendly and rang day before my appointment checking I could still attend. The dentist &amp; assistant was friendly &amp; professional and explained everything clearly. The receptionist found my insurance details quickly and provided me the option of email or paper copy of my receipt.",ABC HealthCare
1,22/05/2023,Initially impressed . . . but sadly very disappointed,"Following my review below, ABC HealthCare have suggested I contact the physio.  The physio didn't give me any contact details and surely, as a customer of ABC HealthCare, they should be going out of their way to find the name of the physio who I had the appointment with and they contact me!  Bearing in mind the cost of my private healthcare, the customer service is appalling.   I had a virtual appointment with a physio which initially I thought was great.  At the end of the appointment it was decided the physio would send me some exercises and 'see' me again in 14 days - and that was that.  Not received exercises nor got a date for follow-up appointment!",ABC HealthCare
1,07/06/2023,For over 35 years I have paid ABC HealthCare,"For over 35 years I have paid ABC HealthCare, however the minute I required something carrying out I was informed this “was not included”, however my eye specialist informed me that many of his patients had used ABC HealthCare for this procedure Of course I think you have it wrong.  Otherwise I would NOT of wrote how POOR &amp; GREEDY ABC HealthCare ARE.",ABC HealthCare
5,01/05/2023,Multiple experiences all good,"For various reasons I have used my ABC HealthCare insurance quite a lot in the past year. Various tests, an operation, health assessment, physio, all have been really good and straight forward. Also used Digital GP with Babylon and her seamless referral to ABC HealthCare for treatment.",ABC HealthCare
5,04/05/2023,Forever helpful,Forever helpful,ABC HealthCare
3,01/08/2023,Found it difficult to get a consultantconsultant…,Found it difficult to find a consultant the list of consultants given by ABC HealthCare were not working from the listed hospitals given by ABC HealthCare,ABC HealthCare
5,03/05/2023,Friendly and easy to get my referral /…,Friendly and easy to get my referral / appointments,ABC HealthCare
5,16/05/2023,Straight foward service with friendly &amp; efficient staff,Friendly and efficient staff in their call centre dealing with authorisations with a range of consultants available locally. Correspondence comes through as quickly as royal mail can manage.,ABC HealthCare
5,19/04/2023,Friendly and professional.,Friendly and relaxing manner. Knowledgeable and professional.,ABC HealthCare
5,04/07/2023,Friendly but professional rep,"Friendly but professional rep, who knew what they were doing",ABC HealthCare
5,03/07/2023,Friendly lady on phone,Friendly lady on phone. She was so helpful it made the process really easy,ABC HealthCare
5,20/04/2023,Friendly people,"Friendly people, right from the receptionist to the Consultant. Marian my nurse made my stay really comfortable.",ABC HealthCare
5,14/07/2023,Friendly staff and environment,Friendly staff and environment,ABC HealthCare
5,26/04/2023,Friendly,"Friendly, helpful staff. Missed the initial rollout to my company but was soon guided through to catch up and now recieving treatment.",ABC HealthCare
5,31/10/2022,start to finish - excellent.,"From  the first phone call to your office, lovely young man answered all my queries, (first time I have had to do this since my husband died, who did it all) to sorting out consultants, making appointments, payments of accounts, all went without a hitch. Treatment in The Clinic was exemplary, first class advice scans done in double quick time, again with lovely staff explaining all along the way.  Couldn't have asked for better.  From 31.10.22 to date - can't put double dates in the right place.",ABC HealthCare
5,20/04/2023,ABC HealthCare Health Assessment -worth every penny,"From beginning to end of my 2 hour health assessment, everything is throughly explained and followed up by ABC HealthCare. Great service and nice doctors.",ABC HealthCare
5,19/05/2023,Highly recommended cataract operation From booking my consultation with the…,"From booking my consultation with the consultant, who was superb , and answered all my questions, to the procedure itself , the whole process was very professional and smooth . The consultant even rang the next day himself. ABC HealthCare staff also excellent and helpful. Highly recommended on all fronts !",ABC HealthCare
5,12/04/2023,Very satisfactory experience,From referral to consultation the service was excellent. Easy to find a physiotherapist and easy to book appointments. Would definitely use again and would definitely recommend,ABC HealthCare
5,06/06/2023,Hernia Operation,From start to finish excellent in all respects. Friendly and informative at every juncture.  I was made to feel relaxed and could not be happier with the medical attention.,ABC HealthCare
5,10/03/2023,Great from start to finish,"From start to finish, ABC HealthCare have been incredible with getting me through the process of claiming. Much appreciated",ABC HealthCare
5,03/07/2023,Wonderful experience.,From the moment I called ABC HealthCare and the ongoing treatment my experience he’s been memorable,ABC HealthCare
4,09/04/2023,Getting an appointment is easy and…,Getting an appointment is easy and convenient. The trouble is usually getting a specialist appointment after a GP one. The past couple of referrals I've had ABC HealthCare won't cover me for.,ABC HealthCare
5,14/05/2023,Getting an authorisation number was a…,"Getting an authorisation number was a very easy process, and ABC HealthCare’s claims person was very helpful over the phone.",ABC HealthCare
2,02/04/2023,Getting through on the phone takes an…,Getting through on the phone takes an unacceptably long time - always more than 20 minutes. I have found that things are not well explained in relation to treatment approval and that treatment approval is also very slow.  This is all very stressful when trying to deal with a serious cancer diagnosis. We have ABC HealthCare cover through my husband's work and a 'special' phone line but find that it takes even longer to get through to this team.  Surely not what the company would expect given the premium they and we pay.,ABC HealthCare
2,14/06/2023,Getting through the gatekeepers on the…,Getting through the gatekeepers on the phone or a chat is a nightmare. I manage the ABC HealthCare contract for my company and was v frustrated to be told I didn’t have something when I knew we did. Shouldn’t have to justify nor have my broker sort out.,ABC HealthCare
4,04/05/2023,Good but can I receive this comment…,Good but can I receive this comment request after the reimbursement is banked in?,ABC HealthCare
5,26/07/2023,Good customer service,"Good customer service, quick payment of claims. The claims cost need to be more aligned to actual nowadays costs but cannot fault the service.",ABC HealthCare
5,02/05/2023,Good location and clear advice and…,Good location and clear advice and assistance,ABC HealthCare
5,23/04/2023,"Good, quick and helpful service",Good quick and helpful service,ABC HealthCare
3,25/06/2023,Good response when phoning,Good response when phoning. They do not display how much credit you have left and you sometimes have to ‘fight’ to get agreement to see a consultant and or any scans etc. Challenging to know what services are included Not their fault but my ex employer has not raised the spend for some years .,ABC HealthCare
4,03/04/2023,Good service and helpful during call to…,Good service and helpful during call to obtain authorisation code,ABC HealthCare
4,24/02/2023,Good service and very happy with the…,"Good service and very happy with the physician. First time I have used ABC HealthCare, so could have done with some assistance in how to go about choosing a physician for the first time (maybe an online video) and how ABC HealthCare works with your regular GP. Slightly disappointed that I had to use the NHS for an endoscope, so this has taken a while.",ABC HealthCare
3,20/07/2023,Good service...eventually,Good service...eventually. Underpaid a benefit I was due and took far too long to resolve the issue. Had to chase multiple times. Once I raised a complaint the issue got resolved.,ABC HealthCare
5,26/04/2023,Physio Good simple to follow advice that…,Good simple to follow advice that appears to be working,ABC HealthCare
5,25/05/2023,Good telephone assistance,Good telephone assistance. Friendly staff. Reliable and efficient process and service.,ABC HealthCare
5,14/05/2023,Great Dentist and treatment plan.,Great Dentist and treatment plan.,ABC HealthCare
5,03/07/2023,Great Honest Reliable Service,Great Honest Reliable Service,ABC HealthCare
5,10/04/2023,Great Service,Great Service,ABC HealthCare
5,24/03/2023,Great advice and prompt payment for…,Great advice and prompt payment for cash benefit,ABC HealthCare
1,13/04/2023,Just answer the phone !,"Great care at the hospital, abysmal service from ABC HealthCare, unable to speak, chat or generally communicate with any member of staff (to check cover etc), despite two ‘on hold for 40 minutes without answer) calls. If this was not company paid cover, I’d be cancelling my cover in a flash and telling everyone I know to do the same. Just awful service and unacceptable.",ABC HealthCare
5,01/05/2023,Great communication and clarity…,Great communication and clarity regarding my treatment,ABC HealthCare
5,24/07/2023,Great communication,"Great communication, easy to get in touch with and give you all the information that you need.  Very efficient and helpful with all needs.",ABC HealthCare
5,12/06/2023,Great experience as always,Great experience as always. Very helpful and informative throughout.,ABC HealthCare
5,10/07/2023,Excellent,"Great experience from phone call to treatment, very quick and very professional no complaints.",ABC HealthCare
5,24/05/2023,Great experience so far without any…,"Great experience so far without any issues. Staff are very helpful and polite with an attitude of "" willing to help"" Although still undergoing treatments, I haven't had any issues so thank you so much for the remarkable work you're doing. Phone answering is also quick!",ABC HealthCare
5,26/04/2023,Great experience with ABC HealthCare,Great experience with ABC HealthCare,ABC HealthCare
5,13/06/2023,Great experience,"Great experience, very helpful and you get seen as you want and need",ABC HealthCare
5,18/04/2023,Great facilities and very attentive staff,Great facilities and very attentive staff,ABC HealthCare
5,26/04/2023,Great medical practitioners and helpful…,Great medical practitioners and helpful customer service staff.,ABC HealthCare
5,27/03/2023,Excellent as per usual,Great no hassle service with all questions answered and personal care second to none,ABC HealthCare
4,17/05/2023,Great once i had got through on phone,"Great once i had got through on phone , that bit took 20 Mins",ABC HealthCare
5,07/05/2023,Great provider,"Great provider, can't complain at all...",ABC HealthCare
5,03/07/2023,Great service,Great service Always able to reach someone when needed and they are fast to assist. Would highly recommend.,ABC HealthCare
5,30/03/2023,Great service and clarity on steps,Great service and clarity on steps,ABC HealthCare
5,22/05/2023,As easy as private care should be.,Great service and easy to get hold of someone on the phone. App works well with all the relevant information stored on it.,ABC HealthCare
5,30/06/2023,Great service and patient dentist!,Great service and patient dentist!,ABC HealthCare
5,21/05/2023,Great service as always from ABC HealthCare Citi…,Great service as always from ABC HealthCare Citi helpline. I love being able to call a person and explain/discuss things and then they send me all the info by text so I have a record on my phone.,ABC HealthCare
4,11/04/2023,Great service but super long wait times…,Great service but super long wait times on the phone - over 30 mins,ABC HealthCare
5,22/05/2023,Great service from start to finish,Great service from start to finish,ABC HealthCare
5,21/05/2023,Great service great surgeon!,Great service great surgeon!,ABC HealthCare
4,10/07/2023,Great service so far but we are at the…,Great service so far but we are at the start of a long process. Unfortunately there opening hours are not the best for people that work full time and can’t make calls during the day. I will write another review at the end of my treatment.,ABC HealthCare
5,20/03/2023,"Great service, very helpful team","Great service which helped me through a difficult time, very empathetic and not rushed at all to make the discussion easier to understand and helped me through the booking process and more. Made very relaxed during the process.",ABC HealthCare
5,23/05/2023,Great service,"Great service, easy to claim, quick turn around and efficient",ABC HealthCare
4,19/06/2023,Great service,Great service. very efficient. Just wish easier to get through without having to give personal details,ABC HealthCare
5,19/04/2023,Great staff and hospital,"Great staff and hospital, brilliant doctor and surgery",ABC HealthCare
1,01/06/2023,Had a tooth removed by my NHS dentist…,Had a tooth removed by my NHS dentist ABC HealthCare as always no problem paying £25 out . My dentist forwarded my details to an implant specialist . My  Bill was £2600 ABC HealthCare have done every thing possible to Stop any payment !,ABC HealthCare
5,27/02/2023,Had knee replacement surgery at…,Had knee replacement surgery at Cheshire Spire Hospital- Excellent care given by all staff. Highly recommend ABC HealthCare,ABC HealthCare
5,25/07/2023,ABC HealthCare care.,"Had my procedure 7 days ago.  All Went to plan and currently in rehabilitation.  ABC HealthCare care take any anxiety out of the process.  Well done to all connected with organisation, approvals etc.",ABC HealthCare
2,19/04/2023,"1 mistake, 1 10min meeting and £150 cost","Had to go through 2 phone call to get a code.  Only had 2 choices of specialist to see, with very limited availability.  When I managed to have an appointment after 1 month, I arrived at the hospital and was told they booked me with the wrong doctor.  3 hour return trip waisted.  Next available appointment was then 4 weeks away.  All that so I was told that the visit was actually the exact amount of my excess. Of course no recognition of previous mistakes and I have had to settle. Maybe if the operators were less intent with money and more in tune with patient need we would be treated differently",ABC HealthCare
5,03/05/2023,Hassle-free easy to follow and a great…,Hassle-free easy to follow and a great service,ABC HealthCare
1,05/07/2023,Awful,"Have been a paying customer for 6 months. Now that I need something I'm getting to see how bad this is.  There are about 5 different apps for things, all with really unhelpful names that dont say what they do. First you have to figure out if you need ""ABC HealthCare Blue"" or ""Babylon"" or ""ABC HealthCare Touch"" for the thing you need.  My login for Babylon works, but not for the other ones. I'm promted to use the live chat which tells the times live chat works followed by ""live chat is not available"" despite it being the middle of the day during live chat hours.  Trying to register I get a generic ""we cant register you call this number"" and when I call said number I have options all related to buying a new policy which aren't relevant to me.  Eventually spoke to someone in customer service today who was super rude. Literally shouting over the top of me and cutting me out, not listening to a work I say just repeating boilerplate.  Anyways. After all this I now need to get an NHS GP appointment to fill out some new forms to prove its not an existing condition, then once I've managed that I have to wait 5 working days for ABC HealthCare to process it, despite me already filling out pages and pages of this to start with, and having access to my complete medical record.  I expect they're just hoping people will pay for the treatment themselves and they won't get round to this. This may well be the case with me.  Really wish I hadn't bothered with this lot.",ABC HealthCare
5,13/07/2023,"Quick, easy and convenient","Have been waiting a surgical procedure with the NHS since January 2022.  Contacted ABC HealthCare to discuss my options through them and had a consultation appointment within 5 days, follow up procedure within a week and have booked surgery at my convenience. Very quick, easy and simple process to book and frees up the NHS to help somebody else, which has to be a win-win.",ABC HealthCare
2,30/04/2023,Very disappointing,Have been with ABC HealthCare before and in the past it was always a first rate service.  This time round I've found them far too quick to try and exclude conditions if they can in any way be remotely linked to something pre-existing.  Have also spent many hours on the phone trying to get through - apparently call volumes are permanently high which to me just means they don't employ enough staff.,ABC HealthCare
3,03/08/2023,A mixed bag....,"Have unfortunately spent a lot of time on the phone to ABC HealthCare tihs year due to my partner's cancer treatment. Sometimes calls are answered in a minute or two, other times I have ben on hold for over an hour, which is rather frustrating, even when calling their dedicated cancert support line. Quality of customer support varies massively and I have been given wrong information regarding policy excess on more than one occasion which led me to raise a complaint - months later they eventually agreed to pay but I am still waiting for the payment to be made.",ABC HealthCare
5,05/10/2022,ABC HealthCare Omcology Team,"Having been diagnosed with Bowel Cancer the ABC HealthCare, and in particular the Oncology team have been brilliant.. they have quick approved all necessary treatment and even sent me flowers when I came out of hospital",ABC HealthCare
3,11/05/2023,Online system is lacking,"Having logged a claim on the online system, you can't even see there is a claim (pending or otherwise) until they've approved it, at which point you don't need to look at it. This meant I logged the same claim twice as it looked like the first claim had not been logged as there was no evidence of it on the site.",ABC HealthCare
5,25/06/2023,Having never used ABC HealthCare before....,"Having never used ABC HealthCare before I got a couple of things wrong in regards to reporting appointments etc.. however after speaking to Tiffany she was amazing and resolved my mistakes and gave me peace of mind,  she is a credit to ABC HealthCare. Excellent customer service 👏",ABC HealthCare
5,26/03/2023,Help and support I had changing mid…,Help and support I had changing mid treatment from Cigna to ABC HealthCare,ABC HealthCare
5,12/04/2023,Helpful adviser who dealt effectively…,Helpful adviser who dealt effectively with what needed to be done to enable me to proceed with my referral,ABC HealthCare
5,10/07/2023,Helpful and trustworthy,Helpful and trustworthy,ABC HealthCare
5,02/07/2023,Excellent support,Helpful staff and prompt response,ABC HealthCare
4,14/05/2023,Helpful,"Helpful, and empathetic staff who are extremely approachable. It would definitely be 5 stars if it hadn't taken such a long time to get through on the phone.",ABC HealthCare
5,10/04/2023,Helpful,"Helpful, listened and a fluid prompt service",ABC HealthCare
1,22/05/2023,"Hi Claire, Totally unacceptable..","Hi Claire,  Regarding your response, do you  honestly feel it was acceptable?  ABC HealthCare have many many customers complaining about this form and faced with the same issues as myself and you simply thank me! How does this help? What steps are ABC HealthCare taking to resolve the issue? Do they even care? Not by the sounds of it!  I am already in contact with my HR department who were shocked at the way we are being treated by ABC HealthCare, you will be hearing from them very shortly, and I will be doing everything in my power to ensure that our company policy will not be renewed next April.",ABC HealthCare
5,30/07/2023,Highly recommend especially in these…,"Highly recommend especially in these troubling times for the NHS, sadly we see the likes of ABC HealthCare as a top priority as is our health. So far it have proven invaluable to our needs, for quick, specialised medical advice &amp; treatment. Highly recommended",ABC HealthCare
